player_id,username,registration_date,last_login_date,total_playtime_hours,sessions_last_30_days,average_session_duration_minutes,preferred_game_mode,player_level,achievements_unlocked,in_game_currency_spent,real_money_spent_usd,device_type,country_code
PLYR0001,ShadowGamerX,2022-01-15,2023-10-28,350.5,25,90,Multiplayer Competitive,75,150,50000,49.99,PC,US
PLYR0002,LunaStriker,2021-11-20,2023-10-27,1200.2,15,120,Story,150,300,10000,0.00,Console_PS,JP
PLYR0003,BlazeRunner,2023-03-01,2023-10-29,80.0,30,45,Battle Royale,30,50,2500,9.99,Mobile_Android,KR
PLYR0004,MysticBlade,2020-07-10,2023-09-15,2500.8,5,180,Multiplayer Co-op,200,450,75000,99.99,PC,DE
PLYR0005,NoobSlayer69,2023-08-15,2023-10-25,25.6,10,30,Multiplayer Competitive,10,15,500,0.00,Console_Xbox,US
PLYR0006,CreativeMind,2022-05-05,2023-10-26,150.0,20,60,Sandbox,50,80,10000,19.99,PC,CA
PLYR0007,SoloAdventurer,2023-01-01,2023-10-28,95.3,22,75,Story,40,65,0,0.00,Console_PS,GB
PLYR0008,TeamPlayerPro,2021-09-01,2023-10-27,600.7,18,100,Multiplayer Co-op,120,220,30000,29.99,PC,AU
PLYR0009,MobileWarrior,2023-05-20,2023-10-29,45.1,28,40,Battle Royale,25,40,1500,4.99,Mobile_iOS,TH
PLYR0010,CasualGamer,2022-10-10,2023-10-20,15.0,8,25,Story,5,5,100,0.00,Mobile_Android,BR
PLYR0011,HardcoreHero,2019-01-01,2023-10-28,5000.0,28,240,Multiplayer Competitive,250,500,100000,199.99,PC,US
PLYR0012,StealthNinja,2022-02-14,2023-10-25,280.9,12,150,Story,60,120,20000,0.00,Console_PS,JP
PLYR0013,ArenaChampion,2023-04-10,2023-10-29,120.5,35,60,Battle Royale,45,70,5000,14.99,Mobile_Android,KR
PLYR0014,GuildMaster,2020-03-15,2023-10-01,3200.1,10,200,Multiplayer Co-op,220,480,80000,149.99,PC,DE
PLYR0015,NewbiePlayer,2023-09-01,2023-10-27,5.2,5,15,Story,2,1,0,0.00,Console_Xbox,US
PLYR0016,ArchitectAlpha,2022-06-20,2023-10-24,200.0,22,70,Sandbox,65,100,15000,24.99,PC,CA
PLYR0017,QuestSeeker,2023-02-01,2023-10-28,110.8,20,80,Story,48,75,500,0.00,Console_PS,GB
PLYR0018,SupportMain,2021-10-05,2023-10-26,450.3,16,110,Multiplayer Co-op,100,180,25000,19.99,PC,AU
PLYR0019,PocketRocket,2023-06-15,2023-10-29,60.4,32,50,Battle Royale,35,60,3000,9.99,Mobile_iOS,TH
PLYR0020,WeekendWarrior,2022-11-01,2023-10-21,30.5,4,45,Story,12,10,200,0.00,Mobile_Android,BR
PLYR0021,TheCollector,2019-05-01,2023-10-28,1500.0,10,90,Story,180,400,5000,0.00,Console_PS,US
PLYR0022,SpeedRunner,2022-03-10,2023-10-27,80.0,20,30,Story,90,150,0,0.00,PC,JP
PLYR0023,MobileLegend,2023-07-01,2023-10-29,100.0,40,60,Battle Royale,50,80,10000,29.99,Mobile_Android,KR
PLYR0024,ExplorerExtra,2020-09-10,2023-09-20,800.0,8,150,Sandbox,160,300,20000,0.00,PC,DE
PLYR0025,JustForFun,2023-07-20,2023-10-26,10.0,6,20,Multiplayer Co-op,3,2,50,0.00,Console_Xbox,US
PLYR0026,ModCreator,2022-08-01,2023-10-25,300.0,15,120,Sandbox,80,120,5000,9.99,PC,CA
PLYR0027,LoreMaster,2023-03-01,2023-10-28,150.0,25,90,Story,55,90,1000,0.00,Console_PS,GB
PLYR0028,RaidBossKiller,2021-12-01,2023-10-27,1000.0,12,180,Multiplayer Co-op,190,350,60000,79.99,PC,AU
PLYR0029,QuickMatchKing,2023-08-01,2023-10-29,70.0,38,40,Multiplayer Competitive,38,65,4000,19.99,Mobile_iOS,TH
PLYR0030,ChillPlayer,2022-12-12,2023-10-15,20.0,3,30,Sandbox,8,8,0,0.00,Mobile_Android,BR
PLYR0031,VirtualTourist,2022-04-01,2023-10-28,180.5,18,75,Sandbox,60,95,8000,14.99,PC,FR
PLYR0032,ProdigyKid,2023-06-01,2023-10-27,50.2,26,50,Multiplayer Competitive,28,45,2000,4.99,Console_PS,KR
PLYR0033,NightOwlGamer,2021-01-15,2023-10-29,900.0,20,130,Story,140,280,12000,0.00,PC,DE
PLYR0034,StrategyMaster,2020-02-20,2023-10-20,1800.8,10,220,Multiplayer Co-op,210,460,85000,129.99,PC,US
PLYR0035,TabletTitan,2023-07-10,2023-10-25,35.6,12,35,Battle Royale,15,20,800,0.00,Mobile_iOS,CA
PLYR0036,SocialButterfly,2022-07-07,2023-10-26,100.0,30,55,Multiplayer Co-op,45,70,6000,9.99,Console_Xbox,GB
PLYR0037,Completionist,2018-01-01,2023-10-28,6000.3,15,250,Story,250,500,20000,0.00,PC,JP
PLYR0038,DailyGrinder,2022-09-01,2023-10-27,700.7,30,100,Multiplayer Competitive,130,250,40000,39.99,PC,AU
PLYR0039,GadgetGeek,2023-08-20,2023-10-29,20.1,8,20,Sandbox,9,10,300,0.00,Mobile_Android,TH
PLYR0040,StoryLover,2022-11-11,2023-10-18,40.0,6,40,Story,18,25,0,0.00,Console_PS,BR
PLYR0041,VRVeteran,2020-01-01,2023-10-28,1200.0,22,160,Sandbox,170,320,30000,59.99,PC,US
PLYR0042,ConsoleCrusader,2021-06-10,2023-10-27,750.5,14,110,Multiplayer Competitive,125,230,22000,29.99,Console_PS,JP
PLYR0043,MobileMaestro,2023-05-01,2023-10-29,110.0,36,70,Battle Royale,52,85,11000,34.99,Mobile_Android,KR
PLYR0044,WorldBuilder,2019-08-15,2023-09-25,3000.2,7,230,Sandbox,230,490,90000,179.99,PC,DE
PLYR0045,F2PChampion,2023-09-10,2023-10-26,8.5,4,18,Story,4,3,0,0.00,Mobile_iOS,US
PLYR0046,CoopCommander,2022-10-01,2023-10-25,220.0,19,80,Multiplayer Co-op,70,110,9000,14.99,PC,CA
PLYR0047,RoleplayerSupreme,2023-04-01,2023-10-28,130.8,23,95,Story,50,80,2000,0.00,Console_PS,GB
PLYR0048,TacticalThinker,2021-11-05,2023-10-27,520.3,17,120,Multiplayer Competitive,110,200,28000,24.99,PC,AU
PLYR0049,CasualExplorer,2023-07-15,2023-10-29,55.4,27,45,Sandbox,32,55,2500,5.99,Mobile_iOS,TH
PLYR0050,AchievementHunter,2022-12-20,2023-10-10,25.0,2,60,Story,15,50,0,0.00,Console_Xbox,BR
PLYR0051,DigitalArtist,2022-01-20,2023-10-28,210.0,20,85,Sandbox,70,105,12000,22.99,PC,FR
PLYR0052,ESportsHopeful,2023-06-15,2023-10-27,65.5,28,55,Multiplayer Competitive,33,52,3000,7.99,Console_PS,KR
PLYR0053,LateNightPlayer,2021-02-20,2023-10-29,980.0,18,140,Story,145,290,14000,0.00,PC,DE
PLYR0054,PuzzleSolverPro,2020-03-25,2023-10-21,1600.5,11,210,Story,205,455,70000,119.99,PC,US
PLYR0055,StreamerFan,2023-07-25,2023-10-26,30.0,10,32,Battle Royale,12,18,700,0.00,Mobile_iOS,CA
PLYR0056,GuildRecruiter,2022-08-08,2023-10-25,115.0,32,60,Multiplayer Co-op,48,75,7000,11.99,Console_Xbox,GB
PLYR0057,TimeTraveler,2017-01-01,2023-10-28,7000.0,16,260,Sandbox,250,500,25000,0.00,PC,JP
PLYR0058,DailyQuestDoer,2022-09-10,2023-10-27,750.0,30,110,Multiplayer Co-op,135,260,42000,44.99,PC,AU
PLYR0059,RetroGamer,2023-08-25,2023-10-29,18.0,7,19,Story,7,8,200,0.00,Console_PS,TH
PLYR0060,Storyteller,2022-11-15,2023-10-19,42.0,5,42,Sandbox,20,28,100,0.00,Mobile_Android,BR
PLYR0061,CodeNinja,2020-04-01,2023-10-28,1000.0,24,150,Sandbox,165,310,35000,69.99,PC,US
PLYR0062,PixelPerfect,2021-07-12,2023-10-27,680.5,13,100,Story,120,225,20000,27.99,Console_PS,JP
PLYR0063,GlobalPlayer,2023-05-10,2023-10-29,100.0,35,65,Battle Royale,48,80,10000,31.99,Mobile_Android,DE
PLYR0064,DimensionHopper,2019-09-20,2023-09-28,2800.2,6,225,Multiplayer Co-op,225,485,88000,169.99,PC,GB
PLYR0065,FreeSpirit,2023-09-15,2023-10-25,5.0,3,16,Sandbox,2,2,0,0.00,Mobile_iOS,US
PLYR0066,ClanLeader,2022-10-11,2023-10-24,200.0,18,78,Multiplayer Competitive,68,108,8000,13.99,PC,CA
PLYR0067,NarrativeFan,2023-04-11,2023-10-28,120.5,22,90,Story,46,78,1500,0.00,Console_PS,FR
PLYR0068,ArenaGrinder,2021-11-11,2023-10-27,500.0,16,115,Battle Royale,105,195,26000,22.99,PC,AU
PLYR0069,CraftyCreator,2023-07-20,2023-10-29,50.0,26,42,Sandbox,30,50,2000,4.99,Mobile_iOS,TH
PLYR0070,Wanderer,2022-12-25,2023-10-12,22.0,4,32,Story,10,12,50,0.00,Console_Xbox,BR
PLYR0071,ShadowHunter,2022-02-02,2023-10-28,380.0,23,92,Multiplayer Competitive,80,160,55000,54.99,PC,US
PLYR0072,MoonlightMuse,2021-12-02,2023-10-27,1100.0,14,115,Story,148,295,9000,0.00,Console_PS,JP
PLYR0073,FireStarter,2023-03-02,2023-10-29,75.0,29,43,Battle Royale,28,48,2300,8.99,Mobile_Android,KR
PLYR0074,AncientGuardian,2020-08-02,2023-09-16,2400.0,4,175,Multiplayer Co-op,198,445,72000,94.99,PC,DE
PLYR0075,GhostOperative,2023-08-16,2023-10-25,22.0,9,28,Multiplayer Competitive,8,12,400,0.00,Console_Xbox,US
PLYR0076,DreamWeaver,2022-05-06,2023-10-26,140.0,19,58,Sandbox,48,78,9000,17.99,PC,CA
PLYR0077,LoneWolf,2023-01-02,2023-10-28,90.0,21,73,Story,38,62,0,0.00,Console_PS,GB
PLYR0078,SquadCaptain,2021-09-02,2023-10-27,580.0,17,98,Multiplayer Co-op,118,215,29000,27.99,PC,AU
PLYR0079,ByteBlaster,2023-05-21,2023-10-29,42.0,27,38,Battle Royale,22,38,1300,3.99,Mobile_iOS,TH
PLYR0080,ZenMaster,2022-10-11,2023-10-21,12.0,7,23,Story,3,3,80,0.00,Mobile_Android,BR
PLYR0081,TechnoMage,2019-02-02,2023-10-28,4800.0,27,235,Multiplayer Competitive,248,498,98000,194.99,PC,US
PLYR0082,SilentAssassin,2022-03-15,2023-10-25,260.0,11,145,Story,58,115,18000,0.00,Console_PS,JP
PLYR0083,InfernoAce,2023-04-11,2023-10-29,115.0,34,58,Battle Royale,42,68,4500,12.99,Mobile_Android,KR
PLYR0084,CosmicVoyager,2020-04-16,2023-10-02,3100.0,9,195,Multiplayer Co-op,218,475,78000,144.99,PC,DE
PLYR0085,RookieMistake,2023-09-02,2023-10-27,3.0,2,12,Story,1,0,0,0.00,Console_Xbox,US
PLYR0086,PixelPainter,2022-07-21,2023-10-24,180.0,21,68,Sandbox,62,98,13000,23.99,PC,CA
PLYR0087,MythHunter,2023-02-02,2023-10-28,105.0,19,78,Story,45,72,400,0.00,Console_PS,GB
PLYR0088,EliteDefender,2021-10-06,2023-10-26,430.0,15,108,Multiplayer Co-op,98,175,23000,17.99,PC,AU
PLYR0089,NanoNinja,2023-06-16,2023-10-29,58.0,31,48,Battle Royale,32,58,2800,7.99,Mobile_iOS,TH
PLYR0090,SereneExplorer,2022-11-02,2023-10-22,28.0,3,42,Story,10,8,150,0.00,Mobile_Android,BR
PLYR0091,CyberSamurai,2019-06-01,2023-10-28,1400.0,9,85,Story,175,380,4000,0.00,Console_PS,US
PLYR0092,RhythmRunner,2022-04-10,2023-10-27,70.0,18,28,Story,85,140,0,0.00,PC,JP
PLYR0093,TitanToppler,2023-08-01,2023-10-29,90.0,38,55,Battle Royale,48,75,9000,27.99,Mobile_Android,KR
PLYR0094,StarArchitect,2020-10-10,2023-09-21,700.0,7,145,Sandbox,155,290,18000,0.00,PC,DE
PLYR0095,LaughingLlama,2023-08-20,2023-10-26,8.0,5,18,Multiplayer Co-op,2,1,20,0.00,Console_Xbox,US
PLYR0096,CodeWizard,2022-09-01,2023-10-25,280.0,14,118,Sandbox,78,115,4000,8.99,PC,CA
PLYR0097,GrimReaperFan,2023-04-01,2023-10-28,140.0,24,88,Story,52,82,1800,0.00,Console_PS,GB
PLYR0098,ShieldBearer,2021-12-01,2023-10-27,950.0,11,178,Multiplayer Co-op,185,340,58000,74.99,PC,AU
PLYR0099,PocketPro,2023-09-01,2023-10-29,65.0,36,42,Multiplayer Competitive,36,62,3800,17.99,Mobile_iOS,TH
PLYR0100,QuietObserver,2022-12-15,2023-10-16,18.0,2,28,Sandbox,6,6,0,0.00,Mobile_Android,BR
PLYR0101,ZeroHero,2023-10-01,2023-10-29,1.5,1,90,Story,1,0,0,0.00,PC,US
player_id,username,registration_date,last_login_date,total_playtime_hours,sessions_last_30_days,average_session_duration_minutes,preferred_game_mode,player_level,achievements_unlocked,in_game_currency_spent,real_money_spent_usd,device_type,country_code
PLYR0102,WhaleKing01,2023-01-10,2023-10-29,200.0,15,80,Multiplayer Competitive,80,100,500000,499.99,PC,US
PLYR0103,F2PGrinder,2020-05-01,2023-10-28,3500.0,28,180,Story,240,490,10000,0.00,PC,DE
PLYR0104,CasualSunday,2023-07-01,2023-10-22,10.5,4,20,Sandbox,5,3,50,0.00,Mobile_Android,BR
PLYR0105,GoneSilent,2021-03-15,2022-05-10,450.0,0,90,Multiplayer Co-op,90,150,20000,19.99,Console_PS,GB
PLYR0106,NewSpark,2023-09-15,2023-10-29,75.0,30,50,Battle Royale,25,30,1000,4.99,Mobile_iOS,KR
PLYR0107,PCMasterRaceX,2019-11-01,2023-10-28,4200.0,26,200,Multiplayer Competitive,245,495,90000,149.99,PC,US
PLYR0108,ConsoleLoyalist,2020-08-20,2023-10-27,1800.0,20,130,Story,190,380,30000,49.99,Console_Xbox,CA
PLYR0109,MobileOnlyPro,2022-06-10,2023-10-29,600.0,45,80,Battle Royale,110,180,40000,79.99,Mobile_Android,CN
PLYR0110,PayToWinLord,2023-05-01,2023-10-28,50.0,10,30,Multiplayer Competitive,60,50,1000000,999.99,Mobile_iOS,US
PLYR0111,StorySeekerJP,2021-07-07,2023-10-27,2200.0,18,160,Story,210,420,5000,0.00,Console_PS,JP
PLYR0112,EuroGrindFest,2020-10-10,2023-10-28,2800.0,25,150,Multiplayer Co-op,230,470,60000,29.99,PC,DE
PLYR0113,WeekendOnlyFun,2023-02-15,2023-10-29,30.0,8,45,Sandbox,12,10,200,0.00,Mobile_Android,GB
PLYR0114,VanishedPlayer,2020-01-01,2021-01-01,800.0,0,120,Story,120,200,30000,9.99,PC,AU
PLYR0115,RisingStarKR,2023-08-01,2023-10-29,150.0,35,60,Battle Royale,40,60,5000,19.99,Mobile_Android,KR
PLYR0116,WhaleHunter,2022-11-11,2023-10-28,150.0,20,50,Multiplayer Competitive,70,80,300000,299.99,PC,KR
PLYR0117,NoPayAllDay,2019-03-20,2023-10-27,4000.0,30,190,Story,248,499,5000,0.00,PC,CA
PLYR0118,QuickMatchCasual,2023-06-01,2023-10-25,12.0,10,15,Battle Royale,6,4,100,0.00,Mobile_iOS,TH
PLYR0119,GhostPlayer,2021-06-30,2022-08-15,300.0,0,70,Multiplayer Co-op,70,100,10000,4.99,Console_Xbox,US
PLYR0120,FreshBlood,2023-10-01,2023-10-29,20.0,20,30,Story,8,5,0,0.00,PC,DE
PLYR0121,PCStrategist,2020-12-01,2023-10-28,3000.0,22,180,Multiplayer Co-op,235,480,70000,99.99,PC,GB
PLYR0122,ConsoleExplorer,2021-05-15,2023-10-27,1500.0,16,120,Sandbox,170,330,20000,19.99,Console_PS,JP
PLYR0123,MobileArenaGod,2022-09-20,2023-10-29,700.0,50,90,Multiplayer Competitive,130,220,50000,99.99,Mobile_Android,CN
PLYR0124,CashSplashKid,2023-07-10,2023-10-28,30.0,8,25,Battle Royale,40,30,800000,799.99,Mobile_iOS,KR
PLYR0125,LoreReader,2022-01-01,2023-10-27,1000.0,12,110,Story,150,280,2000,0.00,PC,DE
PLYR0126,EuroCasual,2023-04-01,2023-10-26,15.0,5,22,Sandbox,7,5,150,0.00,Mobile_Android,FR
PLYR0127,LostSoul,2019-07-01,2020-06-01,1200.0,0,150,Story,150,250,40000,29.99,Console_PS,US
PLYR0128,NewChallenger,2023-09-25,2023-10-29,50.0,28,40,Multiplayer Competitive,20,25,500,0.00,PC,CA
PLYR0129,PCDevoteeUS,2018-08-08,2023-10-28,4800.0,28,210,Multiplayer Co-op,249,500,95000,199.99,PC,US
PLYR0130,ConsoleRelax,2022-03-03,2023-10-27,900.0,10,100,Sandbox,130,240,10000,0.00,Console_Xbox,GB
PLYR0131,MobileQuickFix,2023-08-10,2023-10-29,200.0,60,40,Battle Royale,70,100,15000,29.99,Mobile_iOS,JP
PLYR0132,WalletWarriorJP,2023-06-15,2023-10-28,80.0,12,40,Multiplayer Competitive,75,70,600000,599.99,Mobile_Android,JP
PLYR0133,F2PStoryBuff,2020-02-10,2023-10-27,2500.0,20,170,Story,220,450,8000,0.00,PC,KR
PLYR0134,WeekendExplorer,2023-05-20,2023-10-29,25.0,6,30,Sandbox,10,8,0,0.00,Mobile_Android,AU
PLYR0135,AncientGamer,2018-01-01,2021-12-31,2000.0,0,200,Story,200,400,50000,49.99,PC,DE
PLYR0136,RocketStart,2023-10-10,2023-10-29,10.0,15,20,Battle Royale,5,2,0,0.00,Mobile_Android,US
PLYR0137,WhaleOfTheEast,2022-10-01,2023-10-28,300.0,22,90,Multiplayer Competitive,100,150,800000,899.99,PC,CN
PLYR0138,DedicatedNoMoney,2019-09-09,2023-10-27,3800.0,29,185,Story,245,495,6000,0.00,Console_PS,BR
PLYR0139,FiveMinPlayer,2023-08-20,2023-10-28,2.0,20,5,Sandbox,2,1,0,0.00,Mobile_iOS,TH
PLYR0140,LostToTime,2020-06-06,2022-01-01,600.0,0,100,Multiplayer Co-op,100,180,25000,9.99,PC,FR
PLYR0141,FreshFaceHighRoller,2023-09-01,2023-10-29,40.0,25,35,Multiplayer Competitive,30,20,200000,199.99,Mobile_Android,KR
PLYR0142,PCEliteEU,2019-04-15,2023-10-28,4500.0,27,205,Story,248,498,80000,129.99,PC,DE
PLYR0143,ConsoleCasualJP,2022-07-20,2023-10-27,500.0,8,80,Sandbox,80,130,5000,0.00,Console_Xbox,JP
PLYR0144,MobileCommuter,2023-01-01,2023-10-29,300.0,70,50,Battle Royale,90,150,20000,49.99,Mobile_iOS,US
PLYR0145,BigSpenderNoTime,2023-08-01,2023-10-28,15.0,5,20,Multiplayer Competitive,30,10,1200000,1199.99,Mobile_Android,CN
PLYR0146,F2PStoryteller,2021-02-01,2023-10-27,2000.0,15,150,Story,200,400,3000,0.00,PC,US
PLYR0147,SandboxHobbyist,2023-03-10,2023-10-29,40.0,10,30,Sandbox,15,12,300,0.00,Mobile_Android,CA
PLYR0148,GoneDark,2019-12-12,2021-06-30,1500.0,0,170,Multiplayer Co-op,170,300,45000,39.99,Console_PS,AU
PLYR0149,BrightNewTalent,2023-09-30,2023-10-29,30.0,22,30,Battle Royale,15,10,200,0.00,Mobile_iOS,KR
PLYR0150,ChineseWhalePC,2022-05-05,2023-10-28,500.0,25,120,Multiplayer Competitive,150,250,1500000,1499.99,PC,CN
PLYR0151,NoCashAllAchievements,2018-11-11,2023-10-27,4200.0,30,200,Story,250,500,1000,0.00,PC,DE
PLYR0152,TenMinSession,2023-07-15,2023-10-28,5.0,30,10,Battle Royale,3,2,0,0.00,Mobile_Android,BR
PLYR0153,LostLegend,2019-01-20,2020-12-01,1800.0,0,190,Story,190,350,60000,59.99,Console_Xbox,GB
PLYR0154,NewbieBig spender,2023-10-05,2023-10-29,5.0,10,15,Multiplayer Competitive,10,5,50000,49.99,Mobile_iOS,US
PLYR0155,PCEuropeanLegend,2018-06-01,2023-10-28,5000.0,29,220,Multiplayer Co-op,250,500,100000,249.99,PC,FR
PLYR0156,ConsoleF2PJapan,2021-08-10,2023-10-27,1200.0,14,110,Sandbox,150,280,1000,0.00,Console_PS,JP
PLYR0157,MobileWarriorChina,2022-11-15,2023-10-29,800.0,55,100,Battle Royale,150,250,60000,119.99,Mobile_Android,CN
PLYR0158,SpenderNoPlayUS,2023-09-01,2023-10-28,2.0,3,10,Multiplayer Competitive,5,1,2000000,1999.99,Mobile_iOS,US
PLYR0159,StoryAddictF2P,2020-07-10,2023-10-27,2800.0,23,175,Story,230,470,9000,0.00,PC,CA
PLYR0160,SandboxCasualEU,2023-06-20,2023-10-29,18.0,8,20,Sandbox,8,6,200,0.00,Mobile_Android,DE
PLYR0161,ForgottenHero,2018-03-01,2020-03-01,2200.0,0,210,Story,210,420,70000,79.99,PC,GB
PLYR0162,JustStartedPaying,2023-10-15,2023-10-29,2.0,8,10,Battle Royale,3,1,10000,9.99,Mobile_Android,KR
PLYR0163,AsianPCHighRoller,2021-04-04,2023-10-28,1000.0,28,160,Multiplayer Competitive,200,380,1200000,1099.99,PC,KR
PLYR0164,MaximumEffortNoPay,2018-01-18,2023-10-27,4500.0,30,215,Story,250,500,2000,0.00,Console_Xbox,BR
PLYR0165,BarelyPlays,2023-09-05,2023-10-29,0.5,5,5,Sandbox,1,0,0,0.00,Mobile_iOS,TH
PLYR0166,LostContact,2019-08-08,2021-08-08,900.0,0,130,Multiplayer Co-op,130,230,35000,19.99,PC,FR
PLYR0167,NewbieWhaleMobile,2023-10-01,2023-10-29,10.0,12,20,Multiplayer Competitive,15,8,300000,299.99,Mobile_Android,CN
PLYR0168,LongTimeF2PPC,2018-07-07,2023-10-28,3900.0,26,195,Story,247,497,7000,0.00,PC,US
PLYR0169,ConsoleCasualEU,2022-10-10,2023-10-27,400.0,7,70,Sandbox,70,120,4000,0.00,Console_PS,DE
PLYR0170,MobileFrequentAsia,2023-02-02,2023-10-29,400.0,65,60,Battle Royale,100,170,30000,69.99,Mobile_iOS,JP
PLYR0171,TopSpenderLowPlay,2023-09-10,2023-10-28,1.0,2,8,Multiplayer Competitive,2,0,2500000,2499.99,Mobile_Android,KR
PLYR0172,StoryOnlyNoSpend,2021-01-01,2023-10-27,1800.0,13,140,Story,180,350,1000,0.00,PC,GB
PLYR0173,SandboxMinimalist,2023-05-05,2023-10-29,12.0,6,15,Sandbox,6,4,0,0.00,Mobile_Android,CA
PLYR0174,VanishedWhale,2020-05-20,2021-10-20,200.0,0,60,Multiplayer Competitive,80,100,600000,599.99,PC,US
PLYR0175,RisingStarF2P,2023-09-20,2023-10-29,60.0,29,45,Battle Royale,22,28,300,0.00,Mobile_iOS,KR
PLYR0176,ChinaPCLegend,2019-03-10,2023-10-28,4000.0,30,190,Multiplayer Co-op,249,499,100000,199.99,PC,CN
PLYR0177,F2PMasterConsole,2018-09-11,2023-10-27,3700.0,28,180,Story,246,496,3000,0.00,Console_Xbox,US
PLYR0178,MobileDabbler,2023-08-15,2023-10-28,3.0,10,8,Sandbox,2,1,0,0.00,Mobile_Android,TH
PLYR0179,LostContactHighSpend,2019-10-01,2021-05-01,700.0,0,110,Story,110,190,400000,399.99,PC,DE
PLYR0180,NewKidBigWallet,2023-10-12,2023-10-29,1.0,5,10,Multiplayer Competitive,1,0,400000,399.99,Mobile_iOS,CN
PLYR0181,PCStoryWhaleEU,2020-11-11,2023-10-28,800.0,18,100,Story,160,300,900000,899.99,PC,FR
PLYR0182,ConsoleGrindNoPayJP,2019-05-05,2023-10-27,3200.0,27,160,Multiplayer Co-op,240,480,4000,0.00,Console_PS,JP
PLYR0183,MobileBattleRoyaleProAsia,2022-08-01,2023-10-29,900.0,60,110,Battle Royale,160,270,70000,139.99,Mobile_Android,KR
PLYR0184,UltraWhaleMobileUS,2023-09-16,2023-10-28,0.5,1,5,Multiplayer Competitive,1,0,3000000,2999.99,Mobile_iOS,US
PLYR0185,TrueF2PStoryteller,2018-02-02,2023-10-27,3000.0,25,170,Story,235,475,0,0.00,PC,CA
PLYR0186,SandboxCasualAsia,2023-07-07,2023-10-29,20.0,9,22,Sandbox,9,7,100,0.00,Mobile_Android,TH
PLYR0187,LostHighRoller,2018-04-04,2020-04-04,1000.0,0,140,Story,140,260,800000,799.99,PC,DE
PLYR0188,BrandNewSpender,2023-10-20,2023-10-29,0.2,3,5,Battle Royale,1,0,20000,19.99,Mobile_Android,KR
PLYR0189,KRWhalePCMaster,2020-01-01,2023-10-28,1500.0,30,180,Multiplayer Competitive,220,450,2000000,1899.99,PC,KR
PLYR0190,MaxAchieveNoSpendConsole,2018-10-10,2023-10-27,4000.0,29,195,Story,250,500,0,0.00,Console_Xbox,US
PLYR0191,PlaysOnceAMonth,2023-01-01,2023-10-01,10.0,1,600,Sandbox,5,2,0,0.00,PC,GB
PLYR0192,GoneButSpentBig,2019-07-15,2021-02-01,500.0,0,90,Multiplayer Co-op,90,160,700000,699.99,Console_PS,JP
PLYR0193,NewbieMobileSpender,2023-10-18,2023-10-29,0.8,6,8,Battle Royale,1,0,50000,49.99,Mobile_iOS,CN
PLYR0194,EuroPCLegendNoPay,2018-05-01,2023-10-28,4800.0,28,210,Story,250,500,1000,0.00,PC,FR
PLYR0195,JapaneseConsoleCasual,2022-06-06,2023-10-27,300.0,6,60,Sandbox,60,100,2000,0.00,Console_PS,JP
PLYR0196,AsianMobileFrequentSpender,2023-03-03,2023-10-29,500.0,68,70,Battle Royale,120,200,40000,89.99,Mobile_Android,KR
PLYR0197,ExtremeWhaleNoTimeUS,2023-09-25,2023-10-28,0.1,1,6,Multiplayer Competitive,1,0,5000000,4999.99,Mobile_iOS,US
PLYR0198,DedicatedStoryNoCash,2018-08-08,2023-10-27,2900.0,24,165,Story,233,473,0,0.00,PC,DE
PLYR0199,SandboxOnceInAWhile,2023-06-01,2023-10-15,8.0,2,240,Sandbox,4,3,0,0.00,PC,CA
PLYR0200,ForgottenMegaWhale,2018-02-14,2020-01-14,1200.0,0,150,Story,150,280,1500000,1499.99,PC,US
PLYR0201,FreshStartNoMoney,2023-10-25,2023-10-29,0.2,2,5,Battle Royale,1,0,0,0.00,Mobile_Android,TH